OBJECTID,DSD_N,2012,2015,2018,2021
1,Addalachchenai,2,2,3,2
2,Akkaraipattu,2,2,2,2
3,Alayadiwembu,4,3,4,4
4,Ampara,2,2,3,2
5,Damana,3,3,3,3
6,Dehiattakandiya,2,2,2,2
7,Eravur Pattu,1,1,2,1
8,Eravur Town,4,4,4,4
9,Gomarankadawala,6,5,5,6
10,Irakkamam,5,4,5,6
11,Kalmunai,2,3,2,2
12,Kalmunai Tamil Division,3,3,2,3
13,Kanthalai,2,2,2,2
14,Karaitheevu,5,5,5,6
15,Kattankudy,2,2,3,3
16,Kinniya,1,2,1,2
17,Koralai Pattu  West (Oddamavadi),4,4,4,5
18,Koralai Pattu (Valachchenai),4,4,4,4
19,Koralai Pattu Central,3,4,3,4
20,Koralai Pattu North (Vaharai),4,4,5,5
21,Koralai Pattu South (Kiran),3,5,4,4
22,Kuchchaveli,3,3,3,3
23,Lahugala,6,5,6,6
24,Mahaoya,4,3,4,5
25,Manmunai North,1,1,1,1
26,Manmunai Pattu (Araipattai),3,3,3,3
27,Manmunai South-West,4,5,4,4
28,Manmunai South & Eruvil pattu,2,2,2,2
29,Manmunai West,3,4,4,4
30,Morawewa,6,6,5,6
31,Muttur,2,2,2,2
32,Navithanveli,4,6,5,5
33,Ninthavur,3,3,5,4
34,Padavi Sri Pura,5,5,5,6
35,Padiyathalawa,5,5,5,5
36,Poratheevu Pattu,3,3,3,3
37,Pottuvil,1,2,4,3
38,Sainthamarathu,3,3,4,4
39,Sammanthurai,2,2,2,2
40,Seruvila,5,5,6,6
41,Thambalagamuwa,3,4,3,3
42,Thirukkovil,3,4,4,4
43,Trincomalee Town and Gravets,1,1,1,1
44,Uhana,2,2,2,2
45,Verugal Eachchilampattu,6,6,5,6
